_RAJ2000,_DEJ2000,HIP,Vmag,RAICRS,DEICRS,x_coord,y_coord
000.5900380416,+10.7853625818,   185, 8.53,0.5901502,10.78564387,-1.7591388574561102,0.34084142625164626
000.6006957793,+08.9568236104,   186, 6.33,0.60069792,8.9568336,-1.7667384827173729,0.2838430120707401
000.6022829039,-06.0592700432,   187, 8.99,0.60211418,-6.05918213,-1.7700370182389051,-0.18553716446875682
000.6026937756,+06.3330129475,   188, 8.64,0.60250452,6.33313676,-1.7751924908303942,0.20189359038811205
000.6052334858,+54.1351394280,   189, 9.55,0.60528721,54.13515756,-1.105136339962258,1.5408737660067593
000.6054341208,+10.7763636746,   190, 8.74,0.60555642,10.77665206,-1.758711220814075,0.3404895395283854
000.6129606195,-46.0288958254,   191,12.43,0.61228711,-46.02884131,-1.2625721262219618,-1.3147584534307164
000.6198268213,+08.3938594136,   192, 8.16,0.61983117,8.39393024,-1.768257185815249,0.26621484270324475
000.6217301957,-39.2125913223,   193, 9.46,0.62164007,-39.21249918,-1.3988783856010218,-1.1460616174755158
000.6237594849,+08.4854630885,   194, 5.70,0.62398938,8.48557854,-1.7677962396868339,0.26905886427688197
000.6257810606,+47.4228902175,   195, 7.62,0.62573691,47.42295978,-1.2618480282293707,1.38493532896068
000.6270057285,+51.8299760557,   196, 8.95,0.62700447,51.82997958,-1.1608823736909468,1.4888688512890926
000.6323037402,+42.1477794183,   197, 8.97,0.63232895,42.14779896,-1.3715419388404542,1.2523195888109813
000.6327486717,+15.3351727658,   198, 8.94,0.63269567,15.33519012,-1.7310733609228863,0.48134994531999314
000.6350042732,+16.2565648242,   199, 7.24,0.6350323,16.25655097,-1.7243557486160934,0.5096317710466969
000.6354889988,-33.9926326635,   200,10.32,0.63546326,-33.99267216,-1.4898588436236346,-1.0082414866172376
000.6392801576,+18.6834066960,   201, 8.24,0.639314,18.68336438,-1.7047458778939106,0.583739857719609
000.6417406021,+54.5521394325,   202, 8.62,0.64173419,54.55216087,-1.0943035420150746,1.549488804051674
000.6422862763,-15.8312515368,   203, 9.18,0.64222918,-15.83126945,-1.7125257368696838,-0.48533215727915724
000.6452259870,-43.9479291184,   204, 8.53,0.64508403,-43.94791349,-1.3056882100454117,-1.2642612259047246
000.6456506532,-05.1866512685,   205, 8.54,0.64571113,-5.18664439,-1.7714893437514807,-0.1582627468047296
000.6467924204,+18.8360438919,   206, 8.56,0.64683993,18.83599601,-1.703208327335704,0.5883202878831879
000.6500681667,-67.6342875838,   208, 9.41,0.64992943,-67.63428107,-0.7129935940939435,-1.742814448784779
000.6503624068,+66.0989661808,   207, 5.87,0.65034249,66.09896341,-0.7806949040543232,1.7749043742034816
000.6602081349,+66.1003993437,   209, 7.20,0.6601596,66.10037725,-0.7805857400265521,1.7748121311994356
000.6621419857,-08.4879551407,   210, 9.05,0.66214867,-8.48794379,-1.7584646961389971,-0.26058524769843017
000.6632216213,-37.9477206011,   211, 9.52,0.66317884,-37.94768074,-1.4212178212900033,-1.1127579791071749
000.6635095064,-29.0752475057,   212,10.24,0.6634419,-29.07525103,-1.564274316999116,-0.8723717568920176
