deg	deg	HIP	mag	mas	mag	sptype
051.5788550816	-67.6161948390	 16022	 8.94	   8.24	 0.743	G5III/IV
051.5835114762	-02.1427509457	 16023	 9.10	   6.93	 0.635	G0
051.5842939868	-54.8932049038	 16024	 8.29	   4.62	 1.148	K1III
051.5876014535	+35.3405751044	 16025	 8.47	  13.29	 0.679	F9V
051.5914498300	-59.2987075075	 16026	 8.97	   2.20	 1.184	G8
051.5923658818	-42.8363341385	 16027	 7.81	   4.08	 1.024	K0III
051.5938745087	+37.0131933461	 16028	 8.12	   8.03	 0.447	F2
051.5938531924	-27.3174791868	 16029	 5.93	   7.52	 0.934	K0III
051.6005991727	-15.3632087211	 16030	 7.59	   6.78	 0.063	A1V
051.6033952839	-14.1428364875	 16031	 9.62	   1.45	 1.032	G8/K0III
051.6095212855	+02.1697544644	 16032	 8.24	   4.64	 0.951	G5
051.6249538074	-35.5978516315	 16033	 9.36	   1.79	 1.096	K0
051.6279557582	+31.8215782965	 16034	 8.12	   2.57	 0.348	A3
051.6347710518	-26.9859945534	 16035	 9.00	   3.57	 1.080	K1III
051.6360662202	+47.2664242679	 16036	 8.17	   5.38	 0.220	A0
051.6377345328	-40.5697479725	 16037	 8.42	   1.48	 1.512	K4/K5III:
051.6403633815	-43.6135684044	 16038	 9.17	  12.63	 0.626	G2/G3V
051.6420876774	-53.1615836168	 16039	 9.71	  20.91	 0.865	G8
051.6427916375	+60.2815039421	 16040	 7.45	   5.12	 0.988	G5
051.6450566872	+63.1951464544	 16041	 7.27	   5.48	 0.924	G5
051.6474539766	+28.7150874773	 16042	 6.47	  19.91	 0.882	G5IV
051.6495399432	+57.4097158374	 16043	 8.40	   8.00	 0.891	G5
051.6500191608	-01.1041481269	 16045	10.42	   4.55	 0.700	G0
051.6500866544	-05.4667956800	 16044	 9.17	   8.22	 0.520	G0
051.6551183424	+64.2491310186	 16046	 9.47	   4.89	 0.210	A
051.6643789737	+50.8464993036	 16047	 7.64	   4.44	 0.092	B8
051.6688388225	+72.2060264120	 16048	 7.13	   6.58	 0.232	F0
051.6705868604	-50.6425113348	 16049	 9.23	   7.05	 0.751	K5
051.6795920468	+06.6597179656	 16050	 9.62	   5.72	 0.402	F0
051.6801141859	-62.8246352625	 16051	 8.52	   3.94	 0.247	A5m...
051.6836953466	+51.7106999294	 16052	 8.35	   7.52	 0.491	F5
051.6842516708	-28.5609149426	 16053	 7.48	   4.20	 1.194	K1III
051.6851725217	-09.5190594304	 16054	 9.29	   3.54	 0.220	A2
051.6882396956	-55.4675229770	 16055	 9.01	   8.66	 0.524	F8V
051.6974183066	-02.3865517328	 16056	 9.66	   6.51	 0.528	F5
051.7026411241	+60.4050288853	 16057	 7.56	   4.08	 0.201	A2
051.7051662207	+00.0261748499	 16058	 7.05	   3.99	 1.480	K0
051.7170887470	-73.1330758295	 16059	 8.22	  13.33	 0.612	F6+...
051.7208383644	+66.2109783648	 16060	 7.18	   4.64	 1.238	K0
051.7237675885	+43.6557169180	 16061	 7.30	   6.82	 1.242	K0
051.7239533201	-16.8652585962	 16062	10.07	   4.28	 0.498	F3/F5V
051.7265835411	-23.7319437031	 16063	11.27	   3.04	 0.500	
051.7307061270	-23.7261837233	 16064	11.13	   2.58	      	
051.7307578625	-07.9823595799	 16065	 7.66	   5.84	 1.226	K0
051.7345527554	+03.4645413650	 16066	 8.68	   3.40	 1.026	G5
051.7406633693	-22.0833093217	 16067	10.25	   6.73	 0.710	G0
051.7413876207	-63.5047085027	 16068	 9.79	   8.21	 0.556	F8
051.7467699962	-63.4991013456	 16069	 8.08	  61.07	 1.130	K5V
051.7472358692	-53.5640429383	 16070	 9.06	   0.46	 1.518	M0
051.7474807578	+24.8237028524	 16071	 8.00	   2.01	 1.568	K5
051.7490539672	+23.7766502295	 16072	10.81	   6.99	 0.544	
051.7548679096	-30.4639013770	 16073	 8.51	   4.66	 1.072	K1III
051.7561600017	+24.3271031346	 16074	10.27	  -1.93	 1.137	
051.7596167628	+34.4295040428	 16075	 6.76	   3.28	 1.051	G0
051.7628336897	+02.9994244844	 16076	10.93	   4.04	 0.472	F5
051.7634119274	+18.7565540776	 16077	 6.54	   7.78	 0.188	A3V
051.7715321154	+48.2055091793	 16079	 6.85	   5.55	-0.027	B8.5Vn
051.7715708719	-37.8881962989	 16078	 9.82	  17.46	 0.542	
051.7749316208	-37.8905533528	 16080	 8.12	  12.23	 0.448	F3V
051.7777851626	+63.8162923311	 16081	 8.83	   6.70	 0.373	A5
051.7782403130	-56.4275132392	 16082	 9.27	   3.36	 1.060	K1IIICN...
051.7923026949	+09.7326797472	 16083	 3.73	  14.68	-0.082	B9Vn
051.8010162300	-48.8625640913	 16084	 7.68	  10.43	 0.889	G8IV
051.8020097399	-58.3236826674	 16085	 7.95	  30.95	 0.761	G8V
051.8076826694	+02.2801740642	 16086	 7.40	   8.62	 0.120	A0
051.8084086907	-50.4625478796	 16087	 8.85	  11.14	 0.572	G1V
051.8088411953	+50.8788537708	 16088	10.20	   4.74	 0.544	F5V
051.8091017913	-26.9094921453	 16089	 8.77	  11.23	 0.424	F3V
051.8097689900	+27.3857431022	 16090	11.78	  36.73	 1.476	
